Date,Week,Exposed,Dung_160ml,FoodType,ID,Snail_No,Length,Eggs,Worms,C_Eggs,C_Worms,Infected,Alive,Dead,Last_Alive,Notes
0ct-11-2024,0,No,0,High,S1,131,12.1,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,0,High,S1,131,12.3,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,0,High,S1,131,12.4,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,0,High,S1,131,13.6,55,0,55,0,0,1,0,0,NA
Nov-08-2024,4,No,0,High,S1,131,14.8,0,0,55,0,0,1,0,0,NA
Nov-15-2024,5,No,0,High,S1,131,15.1,20,0,75,0,0,1,0,0,NA
Nov-22-2024,6,No,0,High,S1,131,15.6,30,0,105,0,0,1,0,0,NA
Nov-29-2024,7,No,0,High,S1,131,14.9,0,0,105,0,0,1,0,0,NA
Dec-06-2024,8,No,0,High,S1,131,15.4,50,0,155,0,0,1,0,0,NA
Dec-13-2024,9,No,0,High,S1,131,15.6,15,0,170,0,0,1,0,0,NA
Dec-20-2024,10,No,0,High,S1,131,15.9,39,0,209,0,0,1,0,0,NA
Dec-27-2024,11,No,0,High,S1,131,16.1,8,0,217,0,0,1,0,0,NA
Jan-03-2025,12,No,0,High,S1,131,16.7,17,0,234,0,0,1,0,0,NA
Jan-10-2025,13,No,0,High,S1,131,16.6,40,0,274,0,0,1,0,0,NA
Jan-17-2025,14,No,0,High,S1,131,16.9,60,0,334,0,0,1,0,0,NA
Jan-25-2025,15,No,0,High,S1,131,17,24,0,358,0,0,1,0,0,NA
Jan-31-2025,16,No,0,High,S1,131,17.5,62,0,420,0,0,1,0,1,NA
0ct-11-2024,0,No,0,High,T1,132,12.7,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,0,High,T1,132,13.3,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,0,High,T1,132,12.2,43,0,43,0,0,1,0,0,NA
Nov-01-2024,3,No,0,High,T1,132,13.4,117,0,160,0,0,1,0,0,NA
Nov-08-2024,4,No,0,High,T1,132,14.7,108,0,268,0,0,1,0,0,NA
Nov-15-2024,5,No,0,High,T1,132,15.4,48,0,316,0,0,1,0,0,NA
Nov-22-2024,6,No,0,High,T1,132,16.6,103,0,419,0,0,1,0,0,NA
Nov-29-2024,7,No,0,High,T1,132,14.7,241,0,660,0,0,1,0,0,NA
Dec-06-2024,8,No,0,High,T1,132,15.2,143,0,803,0,0,1,0,0,NA
Dec-13-2024,9,No,0,High,T1,132,14.5,216,0,1019,0,0,1,0,0,NA
Dec-20-2024,10,No,0,High,T1,132,15.1,134,0,1153,0,0,1,0,0,NA
Dec-27-2024,11,No,0,High,T1,132,15.5,122,0,1275,0,0,1,0,0,NA
Jan-03-2025,12,No,0,High,T1,132,16.1,137,0,1412,0,0,1,0,0,NA
Jan-10-2025,13,No,0,High,T1,132,15.7,167,0,1579,0,0,1,0,0,NA
Jan-17-2025,14,No,0,High,T1,132,15.4,163,0,1742,0,0,1,0,0,NA
Jan-25-2025,15,No,0,High,T1,132,16.1,69,0,1811,0,0,1,0,0,NA
Jan-31-2025,16,No,0,High,T1,132,16.2,39,0,1850,0,0,1,0,1,NA
0ct-11-2024,0,No,6.4,High,O2,133,11.9,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,6.4,High,O2,133,13.4,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,6.4,High,O2,133,13.9,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,6.4,High,O2,133,14.7,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,6.4,High,O2,133,16.5,7,0,7,0,0,1,0,0,NA
Nov-15-2024,5,No,6.4,High,O2,133,16.8,0,0,7,0,0,1,0,0,NA
Nov-22-2024,6,No,6.4,High,O2,133,18.2,17,0,24,0,0,1,0,0,NA
Nov-29-2024,7,No,6.4,High,O2,133,17.5,0,0,24,0,0,1,0,0,NA
Dec-06-2024,8,No,6.4,High,O2,133,18.2,0,0,24,0,0,1,0,0,NA
Dec-13-2024,9,No,6.4,High,O2,133,18.1,3,0,27,0,0,1,0,0,NA
Dec-20-2024,10,No,6.4,High,O2,133,18.5,0,0,27,0,0,1,0,0,NA
Dec-27-2024,11,No,6.4,High,O2,133,19.6,0,0,27,0,0,1,0,0,NA
Jan-03-2025,12,No,6.4,High,O2,133,18.7,0,0,27,0,0,1,0,0,NA
Jan-10-2025,13,No,6.4,High,O2,133,19.9,0,0,27,0,0,1,0,0,NA
Jan-17-2025,14,No,6.4,High,O2,133,19.9,0,0,27,0,0,1,0,0,NA
Jan-25-2025,15,No,6.4,High,O2,133,19.8,0,0,27,0,0,1,0,0,NA
Jan-31-2025,16,No,6.4,High,O2,133,20.2,0,0,27,0,0,1,0,1,NA
0ct-11-2024,0,No,6.4,High,P2,134,10.9,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,6.4,High,P2,134,11.9,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,6.4,High,P2,134,12.8,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,6.4,High,P2,134,13.5,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,6.4,High,P2,134,13.8,0,0,0,0,0,1,0,0,NA
Nov-15-2024,5,No,6.4,High,P2,134,14.3,0,0,0,0,0,1,0,1,NA
Nov-22-2024,6,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Nov-29-2024,7,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Dec-06-2024,8,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Dec-13-2024,9,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Dec-20-2024,10,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Dec-27-2024,11,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Jan-03-2025,12,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Jan-10-2025,13,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Jan-17-2025,14,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Jan-25-2025,15,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
Jan-31-2025,16,No,6.4,High,P2,134,,,,,,0,0,1,0,Dead Nov.22.2024
0ct-11-2024,0,No,6.4,High,Q2,135,10.7,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,6.4,High,Q2,135,10.9,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,6.4,High,Q2,135,13,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,6.4,High,Q2,135,14.8,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,6.4,High,Q2,135,15.9,0,0,0,0,0,1,0,0,NA
Nov-15-2024,5,No,6.4,High,Q2,135,16.5,75,0,75,0,0,1,0,0,NA
Nov-22-2024,6,No,6.4,High,Q2,135,16.9,161,0,236,0,0,1,0,0,NA
Nov-29-2024,7,No,6.4,High,Q2,135,16.9,57,0,293,0,0,1,0,0,NA
Dec-06-2024,8,No,6.4,High,Q2,135,17.4,36,0,329,0,0,1,0,0,NA
Dec-13-2024,9,No,6.4,High,Q2,135,18.1,78,0,407,0,0,1,0,0,NA
Dec-20-2024,10,No,6.4,High,Q2,135,18.4,54,0,461,0,0,1,0,0,NA
Dec-27-2024,11,No,6.4,High,Q2,135,18.7,56,0,517,0,0,1,0,0,NA
Jan-03-2025,12,No,6.4,High,Q2,135,18.9,60,0,577,0,0,1,0,0,NA
Jan-10-2025,13,No,6.4,High,Q2,135,19.5,57,0,634,0,0,1,0,0,NA
Jan-17-2025,14,No,6.4,High,Q2,135,19.8,51,0,685,0,0,1,0,0,NA
Jan-25-2025,15,No,6.4,High,Q2,135,19.9,73,0,758,0,0,1,0,0,NA
Jan-31-2025,16,No,6.4,High,Q2,135,19.9,50,0,808,0,0,1,0,1,NA
0ct-11-2024,0,No,6.4,High,R2,136,11.7,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,6.4,High,R2,136,11.9,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,6.4,High,R2,136,12.3,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,6.4,High,R2,136,13.5,36,0,36,0,0,1,0,0,NA
Nov-08-2024,4,No,6.4,High,R2,136,14.3,58,0,94,0,0,1,0,0,NA
Nov-15-2024,5,No,6.4,High,R2,136,14.4,58,0,152,0,0,1,0,0,NA
Nov-22-2024,6,No,6.4,High,R2,136,14.7,144,0,296,0,0,1,0,0,NA
Nov-29-2024,7,No,6.4,High,R2,136,15,133,0,429,0,0,1,0,0,NA
Dec-06-2024,8,No,6.4,High,R2,136,15.2,0,0,429,0,0,1,0,0,NA
Dec-13-2024,9,No,6.4,High,R2,136,15.8,29,0,458,0,0,1,0,0,NA
Dec-20-2024,10,No,6.4,High,R2,136,15.9,57,0,515,0,0,1,0,0,NA
Dec-27-2024,11,No,6.4,High,R2,136,16.1,156,0,671,0,0,1,0,0,NA
Jan-03-2025,12,No,6.4,High,R2,136,16.4,103,0,774,0,0,1,0,0,NA
Jan-10-2025,13,No,6.4,High,R2,136,16.7,208,0,982,0,0,1,0,0,NA
Jan-17-2025,14,No,6.4,High,R2,136,16.7,109,0,1091,0,0,1,0,0,NA
Jan-25-2025,15,No,6.4,High,R2,136,16.9,106,0,1197,0,0,1,0,0,NA
Jan-31-2025,16,No,6.4,High,R2,136,16.9,66,0,1263,0,0,1,0,1,NA
0ct-11-2024,0,No,6.4,High,S2,137,11.7,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,6.4,High,S2,137,12.4,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,6.4,High,S2,137,13.3,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,6.4,High,S2,137,14.7,7,0,7,0,0,1,0,0,NA
Nov-08-2024,4,No,6.4,High,S2,137,15.6,10,0,17,0,0,1,0,0,NA
Nov-15-2024,5,No,6.4,High,S2,137,15.8,6,0,23,0,0,1,0,0,NA
Nov-22-2024,6,No,6.4,High,S2,137,16.3,19,0,42,0,0,1,0,0,NA
Nov-29-2024,7,No,6.4,High,S2,137,16.3,43,0,85,0,0,1,0,0,NA
Dec-06-2024,8,No,6.4,High,S2,137,16.9,11,0,96,0,0,1,0,0,NA
Dec-13-2024,9,No,6.4,High,S2,137,17.1,17,0,113,0,0,1,0,0,NA
Dec-20-2024,10,No,6.4,High,S2,137,17,0,0,113,0,0,1,0,0,NA
Dec-27-2024,11,No,6.4,High,S2,137,17.3,10,0,123,0,0,1,0,0,NA
Jan-03-2025,12,No,6.4,High,S2,137,17.2,10,0,133,0,0,1,0,0,NA
Jan-10-2025,13,No,6.4,High,S2,137,17.3,0,0,133,0,0,1,0,0,NA
Jan-17-2025,14,No,6.4,High,S2,137,17.3,0,0,133,0,0,1,0,1,NA
Jan-25-2025,15,No,6.4,High,S2,137,,,,,,0,0,1,0,Dead Jan.25.2025
Jan-31-2025,16,No,6.4,High,S2,137,,,,,,0,0,1,0,Dead Jan.25.2025
0ct-11-2024,0,No,6.4,High,T2,138,12.1,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,6.4,High,T2,138,12.7,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,6.4,High,T2,138,14.3,91,0,91,0,0,1,0,0,NA
Nov-01-2024,3,No,6.4,High,T2,138,15.8,165,0,256,0,0,1,0,0,NA
Nov-08-2024,4,No,6.4,High,T2,138,16,110,0,366,0,0,1,0,0,NA
Nov-15-2024,5,No,6.4,High,T2,138,15.5,89,0,455,0,0,1,0,0,NA
Nov-22-2024,6,No,6.4,High,T2,138,15.8,157,0,612,0,0,1,0,0,NA
Nov-29-2024,7,No,6.4,High,T2,138,16.2,43,0,655,0,0,1,0,0,NA
Dec-06-2024,8,No,6.4,High,T2,138,16.1,30,0,685,0,0,1,0,0,NA
Dec-13-2024,9,No,6.4,High,T2,138,16.9,42,0,727,0,0,1,0,0,NA
Dec-20-2024,10,No,6.4,High,T2,138,17,36,0,763,0,0,1,0,0,NA
Dec-27-2024,11,No,6.4,High,T2,138,16.8,27,0,790,0,0,1,0,0,NA
Jan-03-2025,12,No,6.4,High,T2,138,17.2,40,0,830,0,0,1,0,0,NA
Jan-10-2025,13,No,6.4,High,T2,138,17.8,33,0,863,0,0,1,0,0,NA
Jan-17-2025,14,No,6.4,High,T2,138,17.9,88,0,951,0,0,1,0,0,NA
Jan-25-2025,15,No,6.4,High,T2,138,17.9,69,0,1020,0,0,1,0,0,NA
Jan-31-2025,16,No,6.4,High,T2,138,18,80,0,1100,0,0,1,0,1,NA
0ct-11-2024,0,No,12.8,High,O3,139,13.1,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,12.8,High,O3,139,13.9,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,12.8,High,O3,139,12.9,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,12.8,High,O3,139,13.7,41,0,41,0,0,1,0,0,NA
Nov-08-2024,4,No,12.8,High,O3,139,15.1,26,0,67,0,0,1,0,0,NA
Nov-15-2024,5,No,12.8,High,O3,139,16.3,0,0,67,0,0,1,0,0,NA
Nov-22-2024,6,No,12.8,High,O3,139,15.4,51,0,118,0,0,1,0,0,NA
Nov-29-2024,7,No,12.8,High,O3,139,16,19,0,137,0,0,1,0,0,NA
Dec-06-2024,8,No,12.8,High,O3,139,17.3,0,0,137,0,0,1,0,0,NA
Dec-13-2024,9,No,12.8,High,O3,139,17,2,0,139,0,0,1,0,0,NA
Dec-20-2024,10,No,12.8,High,O3,139,17.3,0,0,139,0,0,1,0,0,NA
Dec-27-2024,11,No,12.8,High,O3,139,18.5,0,0,139,0,0,1,0,0,NA
Jan-03-2025,12,No,12.8,High,O3,139,18,0,0,139,0,0,1,0,0,NA
Jan-10-2025,13,No,12.8,High,O3,139,19.1,0,0,139,0,0,1,0,0,NA
Jan-17-2025,14,No,12.8,High,O3,139,18.5,0,0,139,0,0,1,0,0,NA
Jan-25-2025,15,No,12.8,High,O3,139,19.2,0,0,139,0,0,1,0,0,NA
Jan-31-2025,16,No,12.8,High,O3,139,19.5,0,0,139,0,0,1,0,1,NA
0ct-11-2024,0,No,12.8,High,P3,140,12.7,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,12.8,High,P3,140,13.3,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,12.8,High,P3,140,12.1,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,12.8,High,P3,140,13.5,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,12.8,High,P3,140,14.9,33,0,33,0,0,1,0,0,NA
Nov-15-2024,5,No,12.8,High,P3,140,15.4,0,0,33,0,0,1,0,0,NA
Nov-22-2024,6,No,12.8,High,P3,140,15.8,79,0,112,0,0,1,0,0,NA
Nov-29-2024,7,No,12.8,High,P3,140,16.5,13,0,125,0,0,1,0,0,NA
Dec-06-2024,8,No,12.8,High,P3,140,16.2,0,0,125,0,0,1,0,0,NA
Dec-13-2024,9,No,12.8,High,P3,140,16.8,0,0,125,0,0,1,0,0,NA
Dec-20-2024,10,No,12.8,High,P3,140,16.8,0,0,125,0,0,1,0,1,NA
Dec-27-2024,11,No,12.8,High,P3,140,,,,,,0,0,1,0,Dead Dec.27.2024
Jan-03-2025,12,No,12.8,High,P3,140,,,,,,0,0,1,0,Dead Dec.27.2024
Jan-10-2025,13,No,12.8,High,P3,140,,,,,,0,0,1,0,Dead Dec.27.2024
Jan-17-2025,14,No,12.8,High,P3,140,,,,,,0,0,1,0,Dead Dec.27.2024
Jan-25-2025,15,No,12.8,High,P3,140,,,,,,0,0,1,0,Dead Dec.27.2024
Jan-31-2025,16,No,12.8,High,P3,140,,,,,,0,0,1,0,Dead Dec.27.2024
0ct-11-2024,0,No,12.8,High,Q3,141,11.9,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,12.8,High,Q3,141,13.2,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,12.8,High,Q3,141,12.1,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,12.8,High,Q3,141,14,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,12.8,High,Q3,141,15.2,0,0,0,0,0,1,0,0,NA
Nov-15-2024,5,No,12.8,High,Q3,141,16,50,0,50,0,0,1,0,0,NA
Nov-22-2024,6,No,12.8,High,Q3,141,16.6,90,0,140,0,0,1,0,0,NA
Nov-29-2024,7,No,12.8,High,Q3,141,16.5,73,0,213,0,0,1,0,0,NA
Dec-06-2024,8,No,12.8,High,Q3,141,16.8,60,0,273,0,0,1,0,0,NA
Dec-13-2024,9,No,12.8,High,Q3,141,17.4,69,0,342,0,0,1,0,0,NA
Dec-20-2024,10,No,12.8,High,Q3,141,17.2,0,0,342,0,0,1,0,0,NA
Dec-27-2024,11,No,12.8,High,Q3,141,17.7,12,0,354,0,0,1,0,0,NA
Jan-03-2025,12,No,12.8,High,Q3,141,18,35,0,389,0,0,1,0,0,NA
Jan-10-2025,13,No,12.8,High,Q3,141,17.8,33,0,422,0,0,1,0,0,NA
Jan-17-2025,14,No,12.8,High,Q3,141,18.6,13,0,435,0,0,1,0,0,NA
Jan-25-2025,15,No,12.8,High,Q3,141,18.6,86,0,521,0,0,1,0,0,NA
Jan-31-2025,16,No,12.8,High,Q3,141,18.7,0,0,521,0,0,1,0,1,NA
0ct-11-2024,0,No,12.8,High,R3,142,12.9,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,12.8,High,R3,142,13.3,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,12.8,High,R3,142,13.5,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,12.8,High,R3,142,14.2,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,12.8,High,R3,142,14.4,0,0,0,0,0,1,0,0,NA
Nov-15-2024,5,No,12.8,High,R3,142,14.6,0,0,0,0,0,1,0,0,NA
Nov-22-2024,6,No,12.8,High,R3,142,14.9,0,0,0,0,0,1,0,0,NA
Nov-29-2024,7,No,12.8,High,R3,142,15.6,0,0,0,0,0,1,0,0,NA
Dec-06-2024,8,No,12.8,High,R3,142,15.7,0,0,0,0,0,1,0,0,NA
Dec-13-2024,9,No,12.8,High,R3,142,16.3,0,0,0,0,0,1,0,0,NA
Dec-20-2024,10,No,12.8,High,R3,142,16.3,0,0,0,0,0,1,0,0,NA
Dec-27-2024,11,No,12.8,High,R3,142,16.6,0,0,0,0,0,1,0,0,NA
Jan-03-2025,12,No,12.8,High,R3,142,16.9,0,0,0,0,0,1,0,0,NA
Jan-10-2025,13,No,12.8,High,R3,142,16.8,0,0,0,0,0,1,0,0,NA
Jan-17-2025,14,No,12.8,High,R3,142,17,0,0,0,0,0,1,0,0,NA
Jan-25-2025,15,No,12.8,High,R3,142,17.5,0,0,0,0,0,1,0,0,NA
Jan-31-2025,16,No,12.8,High,R3,142,17.6,0,0,0,0,0,1,0,1,NA
0ct-11-2024,0,No,12.8,High,S3,143,13.1,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,12.8,High,S3,143,13.2,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,12.8,High,S3,143,12.8,23,0,23,0,0,1,0,0,NA
Nov-01-2024,3,No,12.8,High,S3,143,13.2,41,0,64,0,0,1,0,0,NA
Nov-08-2024,4,No,12.8,High,S3,143,13.8,0,0,64,0,0,1,0,0,NA
Nov-15-2024,5,No,12.8,High,S3,143,14.6,54,0,118,0,0,1,0,0,NA
Nov-22-2024,6,No,12.8,High,S3,143,14.7,60,0,178,0,0,1,0,0,NA
Nov-29-2024,7,No,12.8,High,S3,143,15.2,11,0,189,0,0,1,0,0,NA
Dec-06-2024,8,No,12.8,High,S3,143,15.7,4,0,193,0,0,1,0,0,NA
Dec-13-2024,9,No,12.8,High,S3,143,16.5,3,0,196,0,0,1,0,0,NA
Dec-20-2024,10,No,12.8,High,S3,143,16.5,0,0,196,0,0,1,0,0,NA
Dec-27-2024,11,No,12.8,High,S3,143,16.7,0,0,196,0,0,1,0,0,NA
Jan-03-2025,12,No,12.8,High,S3,143,17.5,2,0,198,0,0,1,0,0,NA
Jan-10-2025,13,No,12.8,High,S3,143,17.7,0,0,198,0,0,1,0,0,NA
Jan-17-2025,14,No,12.8,High,S3,143,18.3,4,0,202,0,0,1,0,0,NA
Jan-25-2025,15,No,12.8,High,S3,143,18.7,8,0,210,0,0,1,0,0,NA
Jan-31-2025,16,No,12.8,High,S3,143,18.9,23,0,233,0,0,1,0,1,NA
0ct-11-2024,0,No,12.8,High,T3,144,12.4,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,12.8,High,T3,144,12.6,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,12.8,High,T3,144,13,26,0,26,0,0,1,0,0,NA
Nov-01-2024,3,No,12.8,High,T3,144,13.5,38,0,64,0,0,1,0,0,NA
Nov-08-2024,4,No,12.8,High,T3,144,14.3,89,0,153,0,0,1,0,0,NA
Nov-15-2024,5,No,12.8,High,T3,144,15.4,105,0,258,0,0,1,0,0,NA
Nov-22-2024,6,No,12.8,High,T3,144,15.4,210,0,468,0,0,1,0,0,NA
Nov-29-2024,7,No,12.8,High,T3,144,15.7,177,0,645,0,0,1,0,0,NA
